ARTS1030,Digital Filmmaking,"This is a hands-on introduction to film making. Students study a selection of great films; and learn how to make movies using lightweight field production equipment. Throughout the course students produce a variety of short videos in different genres, and develop their critical capacity for analyzing cinema and other forms of motion picture storytelling. The class ends with a mini film festival where everyone presents their work."
ARTS1050,Art History,A survey of visual arts from Paleolithic Era to today. Materials are presented in a form accessible to students without previous knowledge of Art History. This is a communication-intensive course.
ARTS1200,Basic Drawing,An introductory course in drawing designed to develop seeing ability and means of expressing visual ideas through graphic skills. The course consists of exercises in drawing from observation and studies from the history of art.
ARTS1380,Fundamentals of Music and Sound,"This course is a hands-on introduction to the primary building blocks of music and musicianship in a 21st Century context. The course will explore acoustics and psychoacoustics, rhythm, pitch, harmony, melody, timbre, improvisation, composition, and music notation through engaged listening practices and creative projects. No formal musical background is expected."
ARTS2040,Intermediate Digital Imaging,Intermediate Digital Imaging is a hands-on studio course exploring the use of computer technologies in making visual art. A study of contemporary issues in digital media and photography facilitates individual innovation and experimentation. Digital imaging and input/output techniques are employed in terms of giving visual form to ideas and personal expression in private and public settings.Prerequisite: ARTS 1020 or permission of instructor.
ARTS2060,2D Experimental Animation,"2D Experimental Animation is an introduction to animation as an art form. Most of this course will be traditional assignments designed to encourage spontaneous creativity, explore animation concepts, and learn animation terminology. Assignments will build a solid foundation for entrance into 3D Animation. This course will also be a historical and theoretical investigation with screenings and readings followed with discussion.Prerequisites: ARTS 1020, ARTS 1040, or ARTS 1200."
ARTS2090,Radical Graphics/Screenprinting,"Radical Graphics/Screenprinting seeks to expand on the definition of print graphics from one that traditionally creates multiple images on paper to a practice that includes art-making activities as varied as mud-stenciling, t-shirt printing, ""fine art"" prints, animation, sculpture, and political protest graphics. Students will focus on the concept of the art ""matrix"": a template for image-making that can work across media. Students will create matrices that can be applied across multiple art-making platforms.  "
ARTS2180,Deep Listening,"Deep Listening is a practice developed by pioneering composer and humanitarian Pauline Oliveros to enhance and expand listening abilities and to encourage creativity. Students will develop a heightened awareness to sound and their sonic environment through experiential exercises, creative projects, collaborations, readings, lectures, and discussion. Musicians and non-musicians of all abilities and backgrounds are welcome! "
ARTS2210,Sculpture I,A beginning sculpture course combining hands-on studio work sessions with lectures on the history and theory of sculpture practice. The studio component involves explorations of materials and techniques as tools for the enhancing of visual sensitivity and creative expression.
ARTS2230,3D Digital Modeling,"A foundational course in concepts and techniques in digital 3D, for animation, games, and digital art. This course focuses on methods and aesthetics in creating digital 3D objects, spaces, and characters, including modeling, texturing, and lighting, as preparation for further courses in the 3D Animation curriculum. "
ARTS2300,Rensselaer Orchestra,"Readings, rehearsals, and performances of works from the standard repertoire for orchestra from the Baroque through the 20th century.Prerequisite: demonstration of adequate skill in playing an orchestral instrument through audition."
ARTS2310,Rensselaer Concert Choir,"Readings, rehearsals, and performances of works from the standard choral repertoire, from the Renaissance through the 20th century. Attendance is mandatory and preparation expected.Audition with instructor."
ARTS2340,Introduction to Afro-Cuban Percussion,"This course is an introduction to Afro-Cuban folkloric music traditions through lecture demonstration and class participation. The emphasis is on learning to play Afro-Cuban rhythms and percussion instruments (clave, conga, cowbell, shekere)."
ARTS2350,Chamber Music Ensemble,"An instrumental class that will be coached and rehearsed and will perform regularly. The larger ensemble will break up into smaller ensembles such as string quartets, woodwind quintets, trios, etc., depending on the make-up of the group, as well as into more unusual combinations that might be required to prepare 20th century repertoire. For intermediate and advanced players, entrance into the course is by authorization form/permission of instructor.Audition with instructor."
