code,course_name,description
AASP100,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP100H,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies."
AASP101,Public Policy and the Black Community,Formerly: AASP300.
AASP200,African Civilization,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.
AASP202,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present."
AASP202H,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present."
AASP211,Get Out: The Sunken Place of Race Relations in the Post-Racial Era,Credit only granted for: AASP298G or AASP211. Formerly: AASP298G.
AASP274,Creative Writing Through The Eyes of African Americans: A Beginning Workshop,"Restriction: Must not have completed ENGL271, ENGL274, ENGL294,or AASP274.  Cross-listed with ENGL274.  Credit only granted for: ENGL274  or AASP274."
AASP297,Research Methods in African American Studies,Prerequisite: AASP101 or AASP202.  Restriction: Must be in African American Studies program.  Credit only granted for: AASP297 or AASP299R.  Formerly: AASP299R.
AASP298A,"Special Topics in Afro-American Studies: African-American History, 1865 - Present",
AASP298B,Constructions of Manhood and Womanhood in the Black Community,Cross-listed with: WMST265.
AASP298L,African-American Literature and Culture,Cross-listed with: ENGL234.
AASP310,African Slave Trade,Prerequisite: AASP202 or AASP100; or permission of BSOS-African American Studies department.  Formerly: AASP311.
AASP313,Black Women in United States History,Restriction: Sophomore standing or higher.  Cross-listed with WMST314.  Credit only granted for: AASP313 or WMST314.
AASP386,Experiential Learning,Restriction: Permission of BSOS-African American Studies department; and junior standing or higher.
AASP395,Fundamentals of Quantitative Research in Socio-Cultural Perspective,Restriction: Must be in African American Studies program; and junior standing or higher.
AASP397,Senior Thesis,Restriction: Permission of BSOS-African American Studies department.
AAST200,Introduction to Asian American Studies,Cross-listed with: AMST298C.
AAST200,Introduction to Asian American Studies,Cross-listed with: AMST298C.
AAST201,Asian American History,Cross-listed with HIST221.  Credit only granted for: AAST201 or HIST221.
AAST233,Introduction to Asian American Literature,Cross-listed with ENGL233.  Credit only granted for: ENGL233 or AAST233.
